frequency,db(v(Vout)),180*cph(v(Vout))/pi
63095734.4,-56.7396364,-367.961888
70794578.4,-57.3964725,-373.209622
79432823.5,-58.0985518,-374.828434
89125093.8,-58.6924497,-373.649281
100000000,-59.0674982,-370.735821
112201845,-59.1954238,-367.212132
125892541,-59.1235057,-363.929388
141253754,-58.9298089,-361.30627
158489319,-58.6834602,-359.418364
177827941,-58.43016,-358.168403
199526231,-58.1945237,-357.409453
223872114,-57.9871144,-357.00345
251188643,-57.8105037,-356.8398
281838293,-57.6632372,-356.83633
316227766,-57.542121,-356.934441
354813389,-57.4434408,-357.09341
398107171,-57.3635646,-357.285486
446683592,-57.2992105,-357.492102
501187234,-57.2475381,-357.701107
562341325,-57.2061524,-357.904772
630957344,-57.1730678,-358.098398
707945784,-57.146657,-358.279335
794328235,-57.1255967,-358.446301
891250938,-57.1088169,-358.598913
1000000000,-57.0954563,-358.737362
1122018450,-57.0848234,-358.862186
1258925410,-57.0763645,-358.974127
1412537540,-57.069637,-359.074021
1584893190,-57.0642877,-359.162736
1778279410,-57.0600348,-359.241126
1995262310,-57.0566536,-359.310001
2238721140,-57.0539655,-359.370112
2511886430,-57.051828,-359.422144
2818382930,-57.0501277,-359.466704
3162277660,-57.0487745,-359.504328
3548133890,-57.0476965,-359.535472
3981071710,-57.0468363,-359.560523
4466835920,-57.0461483,-359.579791
5011872340,-57.0455959,-359.593518
5623413250,-57.0451497,-359.601877
6309573440,-57.0447858,-359.604971
7079457840,-57.0444851,-359.602836
7943282350,-57.0442313,-359.595439
8912509380,-57.0440112,-359.582682
10000000000,-57.0438129,-359.564393
11220184500,-57.0436258,-359.540328
12589254100,-57.0434401,-359.510168
14125375400,-57.0432457,-359.473513
15848931900,-57.0430325,-359.429877
17782794100,-57.042789,-359.378684
19952623100,-57.0425023,-359.319255
22387211400,-57.0421571,-359.250806
25118864300,-57.0417351,-359.172435
28183829300,-57.0412138,-359.083107
31622776600,-57.0405656,-358.981649
35481338900,-57.039756,-358.866728
39810717100,-57.0387422,-358.73684
44668359200,-57.0374704,-358.590291
50118723400,-57.0358734,-358.425178
56234132500,-57.0338668,-358.239368
63095734400,-57.031345,-358.030476
70794578400,-57.0281754,-357.795846
79432823500,-57.0241921,-357.532527
89125093800,-57.0191874,-357.237251
100000000000,-57.0129019,-356.906419
112201845000,-57.0050116,-356.536089
125892541000,-56.9951136,-356.121969
141253754000,-56.9827073,-355.659437
158489319000,-56.9671732,-355.143566
