v-sweep,i(Vout),v(V1),v(V2)
0.7139,-0.00000075363619,0.7139,0.9
0.714,-0.000000753607116,0.714,0.9
0.7141,-0.000000753577799,0.7141,0.9
0.7142,-0.000000753548578,0.7142,0.9
0.7143,-0.000000753519231,0.7143,0.9
0.7144,-0.000000753489729,0.7144,0.9
0.7145,-0.000000753460247,0.7145,0.9
0.7146,-0.000000753430658,0.7146,0.9
0.7147,-0.000000753400984,0.7147,0.9
0.7148,-0.000000753371308,0.7148,0.9
0.7149,-0.000000753341473,0.7149,0.9
0.715,-0.000000753311539,0.715,0.9
0.7151,-0.000000753281475,0.7151,0.9
0.7152,-0.000000753251479,0.7152,0.9
0.7153,-0.000000753221215,0.7153,0.9
0.7154,-0.000000753191015,0.7154,0.9
0.7155,-0.000000753160766,0.7155,0.9
0.7156,-0.000000753130392,0.7156,0.9
0.7157,-0.000000753099934,0.7157,0.9
0.7158,-0.000000753069381,0.7158,0.9
0.7159,-0.000000753038696,0.7159,0.9
0.716,-0.000000753008029,0.716,0.9
0.7161,-0.000000752977218,0.7161,0.9
0.7162,-0.000000752946338,0.7162,0.9
0.7163,-0.000000752915369,0.7163,0.9
0.7164,-0.000000752884256,0.7164,0.9
0.7165,-0.000000752853213,0.7165,0.9
0.7166,-0.000000752821899,0.7166,0.9
0.7167,-0.000000752790642,0.7167,0.9
0.7168,-0.000000752759274,0.7168,0.9
0.7169,-0.000000752727765,0.7169,0.9
0.717,-0.000000752696243,0.717,0.9
0.7171,-0.000000752664596,0.7171,0.9
0.7172,-0.000000752632966,0.7172,0.9
0.7173,-0.000000752601087,0.7173,0.9
0.7174,-0.000000752569136,0.7174,0.9
0.7175,-0.000000752537185,0.7175,0.9
0.7176,-0.000000752505114,0.7176,0.9
0.7177,-0.000000752472948,0.7177,0.9
0.7178,-0.000000752440705,0.7178,0.9
0.7179,-0.000000752408379,0.7179,0.9
0.718,-0.000000752376014,0.718,0.9
0.7181,-0.000000752343521,0.7181,0.9
0.7182,-0.00000075231095,0.7182,0.9
0.7183,-0.000000752278272,0.7183,0.9
0.7184,-0.000000752245558,0.7184,0.9
0.7185,-0.000000752212664,0.7185,0.9
0.7186,-0.00000075217976,0.7186,0.9
0.7187,-0.000000752146681,0.7187,0.9
0.7188,-0.000000752113555,0.7188,0.9
0.7189,-0.000000752080343,0.7189,0.9
0.719,-0.00000075204713,0.719,0.9
0.7191,-0.00000075201377,0.7191,0.9
0.7192,-0.000000751980293,0.7192,0.9
0.7193,-0.000000751946736,0.7193,0.9
0.7194,-0.000000751913095,0.7194,0.9
0.7195,-0.000000751879396,0.7195,0.9
0.7196,-0.00000075184548,0.7196,0.9
0.7197,-0.000000751811552,0.7197,0.9
0.7198,-0.000000751777543,0.7198,0.9
0.7199,-0.000000751743517,0.7199,0.9
0.72,-0.000000751709257,0.72,0.9
0.7201,-0.000000751674953,0.7201,0.9
0.7202,-0.000000751640606,0.7202,0.9
0.7203,-0.0000007516062,0.7203,0.9
0.7204,-0.000000751571626,0.7204,0.9
0.7205,-0.000000751536907,0.7205,0.9
0.7206,-0.000000751502204,0.7206,0.9
0.7207,-0.000000751467368,0.7207,0.9
0.7208,-0.000000751432518,0.7208,0.9
0.7209,-0.00000075139743,0.7209,0.9
0.721,-0.00000075136238,0.721,0.9
0.7211,-0.000000751327187,0.7211,0.9
0.7212,-0.000000751291829,0.7212,0.9
0.7213,-0.000000751256437,0.7213,0.9
0.7214,-0.000000751220892,0.7214,0.9
0.7215,-0.000000751185331,0.7215,0.9
0.7216,-0.000000751149662,0.7216,0.9
0.7217,-0.000000751113953,0.7217,0.9
0.7218,-0.000000751077964,0.7218,0.9
0.7219,-0.000000751042109,0.7219,0.9
0.722,-0.000000751005993,0.722,0.9
0.7221,-0.000000750969784,0.7221,0.9
0.7222,-0.000000750933532,0.7222,0.9
0.7223,-0.000000750897154,0.7223,0.9
0.7224,-0.000000750860799,0.7224,0.9
0.7225,-0.00000075082419,0.7225,0.9
0.7226,-0.000000750787503,0.7226,0.9
0.7227,-0.000000750750775,0.7227,0.9
0.7228,-0.000000750713998,0.7228,0.9
0.7229,-0.000000750677112,0.7229,0.9
0.723,-0.000000750640092,0.723,0.9
0.7231,-0.000000750602908,0.7231,0.9
0.7232,-0.000000750565615,0.7232,0.9
0.7233,-0.000000750528299,0.7233,0.9
0.7234,-0.000000750490875,0.7234,0.9
0.7235,-0.000000750453333,0.7235,0.9
0.7236,-0.000000750415719,0.7236,0.9
0.7237,-0.000000750377957,0.7237,0.9
0.7238,-0.000000750340078,0.7238,0.9
0.7239,-0.000000750302197,0.7239,0.9
0.724,-0.000000750264174,0.724,0.9
0.7241,-0.000000750226025,0.7241,0.9
0.7242,-0.000000750187768,0.7242,0.9
0.7243,-0.000000750149452,0.7243,0.9
0.7244,-0.000000750111052,0.7244,0.9
0.7245,-0.000000750072479,0.7245,0.9
0.7246,-0.000000750033868,0.7246,0.9
0.7247,-0.000000749995065,0.7247,0.9
0.7248,-0.000000749956236,0.7248,0.9
0.7249,-0.000000749917231,0.7249,0.9
0.725,-0.000000749878227,0.725,0.9
0.7251,-0.00000074983909,0.7251,0.9
0.7252,-0.000000749799749,0.7252,0.9
0.7253,-0.000000749760446,0.7253,0.9
0.7254,-0.000000749720941,0.7254,0.9
0.7255,-0.000000749681377,0.7255,0.9
0.7256,-0.00000074964165,0.7256,0.9
0.7257,-0.000000749601885,0.7257,0.9
0.7258,-0.000000749561956,0.7258,0.9
0.7259,-0.000000749521959,0.7259,0.9
0.726,-0.000000749481856,0.726,0.9
0.7261,-0.000000749441549,0.7261,0.9
0.7262,-0.000000749401337,0.7262,0.9
0.7263,-0.000000749360835,0.7263,0.9
0.7264,-0.000000749320298,0.7264,0.9
0.7265,-0.000000749279641,0.7265,0.9
0.7266,-0.000000749238932,0.7266,0.9
0.7267,-0.000000749198119,0.7267,0.9
0.7268,-0.000000749157115,0.7268,0.9
0.7269,-0.000000749116021,0.7269,0.9
0.727,-0.000000749074761,0.727,0.9
0.7271,-0.000000749033445,0.7271,0.9
0.7272,-0.00000074899215,0.7272,0.9
0.7273,-0.000000748950605,0.7273,0.9
0.7274,-0.000000748908995,0.7274,0.9
0.7275,-0.000000748867215,0.7275,0.9
0.7276,-0.000000748825373,0.7276,0.9
0.7277,-0.000000748783426,0.7277,0.9
0.7278,-0.000000748741412,0.7278,0.9
0.7279,-0.000000748699204,0.7279,0.9
0.728,-0.000000748656879,0.728,0.9
0.7281,-0.000000748614482,0.7281,0.9
0.7282,-0.000000748571967,0.7282,0.9
0.7283,-0.000000748529379,0.7283,0.9
0.7284,-0.000000748486594,0.7284,0.9
0.7285,-0.000000748443663,0.7285,0.9
0.7286,-0.000000748400707,0.7286,0.9
0.7287,-0.000000748357611,0.7287,0.9
0.7288,-0.000000748314434,0.7288,0.9
0.7289,-0.000000748271024,0.7289,0.9
0.729,-0.000000748227722,0.729,0.9
0.7291,-0.000000748184146,0.7291,0.9
0.7292,-0.000000748140463,0.7292,0.9
0.7293,-0.000000748096729,0.7293,0.9
0.7294,-0.000000748052816,0.7294,0.9
0.7295,-0.00000074800875,0.7295,0.9
0.7296,-0.000000747964657,0.7296,0.9
0.7297,-0.000000747920469,0.7297,0.9
0.7298,-0.00000074787614,0.7298,0.9
0.7299,-0.000000747831574,0.7299,0.9
0.73,-0.000000747787036,0.73,0.9
0.7301,-0.000000747742298,0.7301,0.9
0.7302,-0.000000747697545,0.7302,0.9
0.7303,-0.000000747652553,0.7303,0.9
0.7304,-0.000000747607444,0.7304,0.9
0.7305,-0.000000747562272,0.7305,0.9
0.7306,-0.000000747516994,0.7306,0.9
0.7307,-0.000000747471606,0.7307,0.9
0.7308,-0.000000747425965,0.7308,0.9
0.7309,-0.000000747380305,0.7309,0.9
0.731,-0.00000074733455,0.731,0.9
0.7311,-0.0000007472887,0.7311,0.9
0.7312,-0.000000747242527,0.7312,0.9
0.7313,-0.000000747196461,0.7313,0.9
0.7314,-0.00000074715016,0.7314,0.9
0.7315,-0.00000074710381,0.7315,0.9
0.7316,-0.000000747057285,0.7316,0.9
0.7317,-0.000000747010606,0.7317,0.9
0.7318,-0.000000746963851,0.7318,0.9
0.7319,-0.000000746916985,0.7319,0.9
0.732,-0.000000746869958,0.732,0.9
0.7321,-0.000000746822858,0.7321,0.9
0.7322,-0.000000746775678,0.7322,0.9
0.7323,-0.000000746728158,0.7323,0.9
0.7324,-0.000000746680692,0.7324,0.9
0.7325,-0.000000746633003,0.7325,0.9
0.7326,-0.000000746585357,0.7326,0.9
0.7327,-0.000000746537394,0.7327,0.9
0.7328,-0.000000746489381,0.7328,0.9
0.7329,-0.00000074644122,0.7329,0.9
0.733,-0.000000746393033,0.733,0.9
0.7331,-0.000000746344615,0.7331,0.9
0.7332,-0.000000746296077,0.7332,0.9
0.7333,-0.000000746247492,0.7333,0.9
0.7334,-0.000000746198623,0.7334,0.9
0.7335,-0.000000746149802,0.7335,0.9
0.7336,-0.000000746100719,0.7336,0.9
0.7337,-0.000000746051576,0.7337,0.9
0.7338,-0.000000746002243,0.7338,0.9
0.7339,-0.000000745952827,0.7339,0.9
0.734,-0.00000074590333,0.734,0.9
0.7341,-0.000000745853583,0.7341,0.9
0.7342,-0.000000745803787,0.7342,0.9
0.7343,-0.000000745753864,0.7343,0.9
0.7344,-0.000000745703842,0.7344,0.9
0.7345,-0.000000745653534,0.7345,0.9
0.7346,-0.000000745603201,0.7346,0.9
0.7347,-0.000000745552803,0.7347,0.9
0.7348,-0.00000074550212,0.7348,0.9
0.7349,-0.000000745451457,0.7349,0.9
0.735,-0.00000074540049,0.735,0.9
0.7351,-0.000000745349508,0.7351,0.9
0.7352,-0.000000745298468,0.7352,0.9
0.7353,-0.000000745247146,0.7353,0.9
0.7354,-0.000000745195724,0.7354,0.9
0.7355,-0.000000745144106,0.7355,0.9
0.7356,-0.0000007450924,0.7356,0.9
0.7357,-0.000000745040639,0.7357,0.9
0.7358,-0.000000744988784,0.7358,0.9
0.7359,-0.00000074493664,0.7359,0.9
0.736,-0.000000744884465,0.736,0.9
0.7361,-0.000000744832057,0.7361,0.9
0.7362,-0.000000744779561,0.7362,0.9
0.7363,-0.000000744726854,0.7363,0.9
0.7364,-0.000000744674022,0.7364,0.9
